area_name,salary_by_city,area_name,percentage_by_city
Москва,94380.0,Москва,28.33%
Санкт-Петербург,80126.0,Санкт-Петербург,10.42%
Минск,75572.0,Новосибирск,2.49%
Новосибирск,75316.0,Екатеринбург,2.39%
Екатеринбург,70291.0,Казань,2.15%
Казань,63336.0,Нижний Новгород,2.12%
Краснодар,62286.0,Краснодар,1.77%
Нижний Новгород,60410.0,Алматы,1.74%
Челябинск,58764.0,Ростов-на-Дону,1.65%
Самара,58724.0,Воронеж,1.45%
